path,wave,loc_estimate
hbsd/src/lib/msun/src/s_tanh.c,wave2,80
hbsd/src/lib/msun/src/s_tanhf.c,wave2,54
hbsd/src/lib/msun/src/s_tanhl.c,wave2,170
hbsd/src/lib/msun/src/s_tanl.c,wave2,94
hbsd/src/lib/msun/src/s_tanpi.c,wave2,176
hbsd/src/lib/msun/src/s_tanpif.c,wave2,114
hbsd/src/lib/msun/src/s_tgammaf.c,wave2,42
hbsd/src/lib/msun/src/s_trunc.c,wave2,63
hbsd/src/lib/msun/src/s_truncf.c,wave2,49
hbsd/src/lib/msun/src/s_truncl.c,wave2,63
hbsd/src/lib/msun/src/w_cabs.c,wave2,20
hbsd/src/lib/msun/src/w_cabsf.c,wave2,17
hbsd/src/lib/msun/src/w_cabsl.c,wave2,17
hbsd/src/lib/msun/src/w_drem.c,wave2,14
hbsd/src/lib/msun/src/w_dremf.c,wave2,15
