batch_id,path,dir,lines,status,clone_of
b1504,hbsd/src/usr.sbin/ppp/bundle.c,usr.sbin/ppp,2016,PENDING,
b1504,hbsd/src/usr.sbin/ppp/command.c,usr.sbin/ppp,3341,PENDING,
b1505,hbsd/src/sys/netpfil/ipfw/ip_dn_io.c,sys/netpfil/ipfw,1009,PENDING,
b1505,hbsd/src/sys/netpfil/ipfw/ip_fw_nat.c,sys/netpfil/ipfw,1248,DEFERRED,
b1505,hbsd/src/sys/netpfil/ipfw/dn_sched_fq_pie.c,sys/netpfil/ipfw,1237,DEFERRED,
b1505,hbsd/src/sys/netpfil/ipfw/ip_dummynet.c,sys/netpfil/ipfw,2824,DEFERRED,
b1506,hbsd/src/sys/netpfil/pf/pf_nv.c,sys/netpfil/pf,1230,PENDING,
b1506,hbsd/src/sys/netpfil/pf/pf_lb.c,sys/netpfil/pf,1361,DEFERRED,
b1506,hbsd/src/sys/netpfil/pf/pflow.c,sys/netpfil/pf,1842,DEFERRED,
b1506,hbsd/src/sys/netpfil/pf/pf_table.c,sys/netpfil/pf,2477,DEFERRED,
b1507,hbsd/src/sys/netpfil/ipfilter/netinet/ip_nat6.c,sys/netpfil/ipfilter/netinet,3996,PENDING,
b1507,hbsd/src/sys/netpfil/ipfilter/netinet/ip_state.c,sys/netpfil/ipfilter/netinet,5257,PENDING,
b1507,hbsd/src/sys/netpfil/ipfilter/netinet/ip_nat.c,sys/netpfil/ipfilter/netinet,8416,DEFERRED,
b1507,hbsd/src/sys/netpfil/ipfilter/netinet/fil.c,sys/netpfil/ipfilter/netinet,10075,DEFERRED,
b1508,hbsd/src/sys/netpfil/ipfw/test/test_dn_sched.c,sys/netpfil/ipfw/test,95,PENDING,
b1508,hbsd/src/sys/netpfil/ipfw/test/test_dn_heap.c,sys/netpfil/ipfw/test,161,PENDING,
b1508,hbsd/src/sys/netpfil/ipfw/test/main.c,sys/netpfil/ipfw/test,736,PENDING,
b1509,hbsd/src/sys/security/audit/audit_bsm_db.c,sys/security/audit,402,DEFERRED,
b1509,hbsd/src/sys/security/audit/audit_bsm_klib.c,sys/security/audit,528,PENDING,
b1509,hbsd/src/sys/security/audit/audit_worker.c,sys/security/audit,542,DEFERRED,
b1509,hbsd/src/sys/security/audit/audit_dtrace.c,sys/security/audit,533,DEFERRED,
b1510,hbsd/src/sys/netipsec/xform_ipcomp.c,sys/netipsec,793,DEFERRED,
b1510,hbsd/src/sys/netipsec/key_debug.c,sys/netipsec,1056,PENDING,
b1510,hbsd/src/sys/netipsec/xform_esp.c,sys/netipsec,1093,DEFERRED,
b1510,hbsd/src/sys/netipsec/xform_ah.c,sys/netipsec,1192,DEFERRED,
b1511,hbsd/src/sys/ufs/ffs/ffs_balloc.c,sys/ufs/ffs,1212,PENDING,
b1511,hbsd/src/sys/ufs/ffs/ffs_subr.c,sys/ufs/ffs,1270,PENDING,
b1511,hbsd/src/sys/ufs/ffs/ffs_vnops.c,sys/ufs/ffs,2105,DEFERRED,
b1511,hbsd/src/sys/ufs/ffs/ffs_vfsops.c,sys/ufs/ffs,2466,DEFERRED,
b1512,hbsd/src/sys/vm/vm_reserv.c,sys/vm,1506,DEFERRED,
b1512,hbsd/src/sys/vm/vnode_pager.c,sys/vm,1682,DEFERRED,
b1512,hbsd/src/sys/vm/vm_phys.c,sys/vm,2095,DEFERRED,
